road,segmentNo,width,nrLanes,Km
Z1007,1,3.6571224555046364,1.0,18.766
Z1008,1,4.778897418004187,1.597976273551989,14.33
Z1009,1,4.38190770962296,1.2581598199212156,14.216
Z1012,1,3.679566296058072,1.0,10.883
Z1012,2,3.482895272562769,1.0,4.421000000000001
Z1013,1,3.598513344973809,1.0,20.045
Z1016,1,5.803085543329447,1.6533897875361292,19.721
Z1017,1,3.660873421123354,1.02252082773448,18.605
Z1018,1,6.322423867293884,1.8947759346372866,8.078
Z1019,1,4.995677045619115,1.6922519913106444,6.905
Z1019,2,3.7570780547609313,1.0,12.235
Z1021,1,3.61708427672956,1.0,19.875
Z1022,1,3.6855592347314206,1.0077262693156732,13.59
Z1026,1,3.636599046556446,1.0,19.718
Z1028,1,3.7,1.0,13.28
Z1029,1,3.6500000000000004,1.0,2.381
Z1029,2,3.605314474045592,1.0,10.923
Z1030,1,3.6841012658227847,1.0182278481012659,9.875
Z1030,2,3.7,1.0,7.797000000000001
Z1030,3,3.7,1.0,5.058
Z1031,1,5.048201438848921,1.5035971223021583,1.39
Z1031,2,5.56541737649063,2.0,2.9350000000000005
Z1031,3,8.47444234404537,2.4234404536862004,2.6449999999999996
Z1031,4,15.225531914893619,4.0,0.23500000000000032
Z1031,5,13.372924988903685,3.7869507323568574,2.253
Z1031,6,10.743824701195217,2.7357237715803455,0.7530000000000001
Z1031,7,6.222770700636943,2.0,4.396000000000001
Z1031,8,5.711768237766436,1.9909936955869107,6.662000000000001
Z1031,9,5.6,2.0,0.5669999999999966
Z1031,10,5.673700262429959,1.896269238953117,14.099000000000004
Z1032,1,4.315979175010012,1.3904685622747297,4.994
Z1032,2,3.5441670667306773,1.0122419587133942,6.2490000000000006
Z1033,1,5.259793148028442,1.5996552467140701,9.282
Z1033,2,5.817401101652479,1.917459522617259,11.982
Z1033,3,4.861313868613138,1.595118613138686,4.384000000000004
Z1034,1,10.664177978883862,3.0369532428355956,2.6519999999999997
Z1034,2,5.756536536536537,2.0,9.990000000000002
Z1034,3,5.921201573849879,2.035562953995157,6.607999999999999
Z1034,4,4.257862826828344,1.556839712012126,10.555999999999997
Z1035,1,5.5369429692911565,2.0073885938582317,21.655
Z1036,1,3.5593749999999997,1.0,0.96
Z1036,2,3.5558085052202695,1.0,7.854
Z1037,1,3.6891870915032676,1.0302287581699345,12.24
Z1039,1,3.6995180362221225,1.0,13.362
Z1039,2,3.683738872403561,1.0,3.369999999999999
Z1040,1,5.397130044843049,1.5,6.69
Z1040,2,5.419275808936825,1.5000000000000002,3.245
Z1040,3,5.419005628517824,1.5,2.664999999999999
Z1040,4,5.410876288659794,1.5,3.880000000000001
Z1041,1,5.587429271972841,2.0,10.604000000000001
Z1041,2,5.5342430833478335,1.9195232295110491,22.988
Z1042,1,5.37332766680833,1.9226519337016572,23.53
Z1042,2,5.5855019455252926,1.964980544747082,12.850000000000001
Z1042,3,3.9063478628861596,1.0926787981379595,11.814999999999998
Z1043,1,5.6028836597486125,1.9751534638994446,13.684000000000001
Z1044,1,5.552309839497558,1.9665038381018842,28.66
Z1044,2,5.499999999999999,2.0,11.696000000000002
Z1045,1,4.671954707985697,1.543444576877235,8.39
Z1045,2,5.315394136303861,1.8522085557360564,12.926999999999996
Z1046,1,3.4,1.0,12.556
Z1046,2,3.4,1.0,6.882
Z1048,1,3.8053164659941427,1.093638138626749,12.292
Z1048,2,4.75355664083236,1.4235322221042574,18.838
Z1049,1,3.6197241379310343,1.0050574712643676,2.175
Z1049,2,3.717131979695432,1.033867385786802,6.303999999999999
Z1049,3,3.88369170622731,1.0966210555710696,10.743000000000002
Z1050,1,5.636805712138294,2.013528748590755,13.305
Z1051,1,3.7526621160409555,1.0273037542662116,1.465
Z1051,2,3.6500000000000004,1.0,2.895
Z1051,3,5.352792439979569,1.577217776264261,5.872999999999998
Z1052,1,5.514613180515759,2.0,3.49
Z1052,2,5.254034582132565,1.5000000000000002,3.4699999999999998
Z1052,3,3.7933713942307694,1.2124399038461537,16.64
Z1053,1,5.9515103338632755,2.002271178741767,17.612000000000002
Z1054,1,3.6,1.0,1.675
Z1057,1,3.677647058823529,1.0073529411764706,5.44
Z1059,1,3.8877360931435962,1.1058449958838055,8.503
Z1059,2,4.2480488707885975,1.1543872639763053,2.7010000000000005
Z1061,1,3.6568431929733918,1.0103332472229398,3.8710000000000004
Z1062,1,3.7472684310018907,1.059546313799622,10.58
Z1062,2,3.372097099755657,1.0,9.412999999999998
Z1063,1,3.71747824041402,1.023523876734886,17.004
Z1064,1,3.6003189493433396,1.0,2.1319999999999997
Z1065,1,3.9581106349824693,1.145792754187768,25.67
Z1066,1,5.032021474292793,1.407598595911625,4.843
Z1066,2,3.670115321252059,1.0,2.428
Z1069,1,4.376040476579076,1.3148359719275338,61.27
Z1070,1,3.726865515436944,1.0523286237571952,3.822
Z1070,2,3.609696502746884,1.0,14.926000000000002
Z1071,1,3.5,1.0,3.225
